Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
55.117465019226074	0	-171.48007856167908	-9.271189195593845	67.6387369110788	-43.40219718734097	-350.2790088976759	20.0	0.0	1040	10040	-151.34455125440124	-7.293400211183497
108.97866702079773	1	-174.80820984487133	-9.400122956220692	64.87324727595879	-46.98377129284999	-367.88257061710914	20.0	0.0	1040	20080	-149.4836590820149	-8.46495271850616
161.47495365142822	2	-167.538851085102	-9.11527890529156	61.724675715798995	-40.33783664835654	-346.2248577601409	20.0	0.0	1040	30120	-179.59915226355332	-9.565634151149803
213.48533368110657	3	-170.88059306586197	-8.968951225192344	63.18580493997627	-32.73267813610678	-335.27624435852016	20.0	0.0	1040	40160	-173.23493991402046	-9.107107675780306
266.85535860061646	4	-159.74015610454197	-8.149005702241283	61.562889636126734	-37.853328208969394	-315.17633749275	20.0	0.0	1040	50200	-156.67260838259597	-8.715738518001954
319.07181453704834	5	-157.34040623017398	-8.224337267889235	67.31544278669851	-22.445665785682014	-341.98695663495727	20.0	0.0	1040	60240	-165.4120078809014	-8.684381844186928
372.47997522354126	6	-157.05870123549147	-7.997965795542438	62.59080414180582	-31.263383886762266	-307.7937227883597	20.0	0.0	1040	70280	-158.66897181292978	-7.988593120946167
423.5958456993103	7	-158.61760063587124	-7.864410945718566	67.40600534459902	-38.06872203374471	-350.3211284861386	20.0	0.0	1040	80320	-158.70538424211014	-7.586557879682909
475.4491481781006	8	-153.57372858822924	-7.3568829244546485	63.657009964561304	-26.76448080613877	-324.75228857803006	20.0	0.0	1040	90360	-141.98279299744132	-6.7939126702031425
528.7456312179565	9	-153.50894732397072	-7.45821615644524	64.70234533312701	-27.75455490205335	-327.4640164222634	20.0	0.0	1040	100400	-146.83849135957965	-7.28537420149263
580.1771366596222	10	-151.14565484937867	-7.355133169946272	65.86582519403851	-20.868811232658963	-357.73703486599163	20.0	0.0	1040	110440	-140.08164755927908	-7.605884622232335
631.9427263736725	11	-153.8915027841579	-7.223137478737926	66.87148447386805	-32.513782113924	-358.8561284785161	20.0	0.0	1040	120480	-157.9677767862731	-7.310641502325495
684.0659780502319	12	-148.88848620414805	-7.232824327127724	65.15816576207278	-21.16608711227226	-376.9261394627363	20.0	0.0	1040	130520	-151.57745783311077	-7.622537926828199
735.5413634777069	13	-139.90751844505002	-6.549041681242723	57.967518023925415	-22.869597147411454	-326.08190986931936	20.0	0.0	1040	140560	-139.2338780954338	-6.780763142735248
787.393052816391	14	-146.57842155877486	-6.612339162537503	61.719261224019924	-21.541780555784218	-321.266588389247	20.0	0.0	1040	150600	-140.3578978862789	-5.41103910753497
