Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
79.73742604255676	0	-171.48587878542202	-9.353021697086232	64.25769609821882	-36.11036828658281	-341.6700469289631	20.0	0.0	1020	10020	-173.47543440264442	-8.86028163586939
156.53767681121826	1	-167.18448809444607	-9.112209460231002	61.729527342710945	-38.89693315714199	-333.2270192171092	20.0	0.0	1020	20040	-165.93534332421868	-8.816468421220726
233.15567350387573	2	-163.69355491900473	-8.70960330136879	65.02174706625287	-36.29504854436033	-334.7518980644807	20.0	0.0	1020	30060	-163.74237351434368	-8.745454423873385
309.3892252445221	3	-160.0704703424855	-8.210346130407128	61.242191407652214	-31.044432925029323	-325.0158191783061	20.0	0.0	1020	40080	-123.74608229168183	-6.742934149810638
386.68152713775635	4	-159.7957476448701	-8.350754555664517	63.26256229348734	-24.633213490693105	-334.5403339769074	20.0	0.0	1020	50100	-207.41438171316753	-10.887992161539522
462.60484647750854	5	-158.4565271988658	-8.090955145848245	58.23862865342677	-32.93363092183132	-316.30196544314606	20.0	0.0	1020	60120	-153.27813376860766	-7.200727838240387
539.3025577068329	6	-150.75521980112623	-7.588089220669949	63.311738827935656	-35.662321109415615	-347.2284554654502	20.0	0.0	1020	70140	-140.0309222016883	-7.257314049749726
615.8228499889374	7	-148.43491689672388	-7.374058532478633	65.05554984096739	-22.81571684007699	-334.49771671062496	20.0	0.0	1020	80160	-155.3250095022635	-7.5968527079094805
694.593430519104	8	-157.8732114994934	-7.761585445628686	67.39155606355123	-27.476008150560773	-332.6918513083663	20.0	0.0	1020	90180	-165.86724368222366	-8.423702514110685
771.0965645313263	9	-151.0847466792558	-7.264187360263939	71.3404081470404	-27.021045288867914	-351.5391303371208	20.0	0.0	1020	100200	-160.55072889624032	-8.072102366101056
848.0298948287964	10	-153.05441069377193	-7.304618922980647	69.3308568525668	-29.226893480164783	-344.960559206389	20.0	0.0	1020	110220	-157.33167534588358	-7.622746032693051
923.9886758327484	11	-143.1966896146672	-6.664724514607601	65.56199432322536	-25.524023386113786	-325.75858509057434	20.0	0.0	1020	120240	-134.10120141499624	-6.284428944482002
1001.6582334041595	12	-149.3811373262433	-6.974238131974371	66.10406077882209	-33.828817330840835	-371.4523886464505	20.0	0.0	1020	130260	-147.78871795126068	-7.438019931536945
1077.4439616203308	13	-142.95096013497817	-6.482100924600074	63.565371311088484	-24.35762957936833	-354.1486718045378	20.0	0.0	1020	140280	-137.39360274594694	-6.82402131047794
1154.2111098766327	14	-134.74466432330692	-5.9470576553500125	63.14191755787345	-24.080256182210846	-396.51204402408644	20.0	0.0	1020	150300	-103.43158928535458	-4.4435301064478825
1230.8630065917969	15	-133.61042667817048	-5.813790272664065	63.028589598482434	-24.02881952689963	-371.6511416292305	20.0	0.0	1020	160320	-128.8770514282457	-5.037523021578528
1308.4978432655334	16	-127.10152246601027	-5.284609860361347	56.02291391083565	-24.423565007997688	-336.48643294400983	20.0	0.0	1020	170340	-109.59397380147651	-4.967697678593174
1385.1661496162415	17	-121.13947733935395	-5.375184760014206	64.02319374567448	-24.348330843115562	-371.2119003827949	20.0	0.0	1020	180360	-119.69964878008798	-5.401235706724868
1461.7177994251251	18	-135.15535828726937	-6.087017731480424	72.75008435789147	-22.723196624150155	-429.13690600884894	20.0	0.0	1020	190380	-93.60013932892372	-4.506898500491101
1538.1630940437317	19	-124.79396582124201	-5.387264597469087	65.91051076851271	-21.381377051518907	-326.1240179983845	20.0	0.0	1020	200400	-131.7177578948467	-6.12419930235222
1616.1773309707642	20	-121.7139535045894	-5.217385398505321	63.00241389638464	-20.913082554556254	-368.6626777876965	20.0	0.0	1020	210420	-117.6619032930279	-5.12585339300291
1691.8907990455627	21	-122.12576635410835	-5.402087358211464	65.06781855161589	-29.98587511493893	-376.0355053149805	20.0	0.0	1020	220440	-126.90827918879549	-5.810052951216182
1768.7563207149506	22	-126.42015271589393	-5.675618800139603	65.93237272245605	-20.06714822293261	-408.6172131050737	20.0	0.0	1020	230460	-155.4322000357411	-7.340141044978196
1845.216427564621	23	-122.33831677751078	-5.611501333166846	64.89118508549358	-25.626763173181665	-356.1971175090756	20.0	0.0	1020	240480	-123.79870714368062	-4.96690789980277
1923.0173845291138	24	-114.2944007568563	-5.02280655160768	61.83021046921097	-27.37898311974306	-419.8936149471838	20.0	0.0	1020	250500	-125.21624401043903	-5.346463955734792
1999.5417923927307	25	-112.59687170136438	-4.7527939029785164	63.66092490302355	-25.122408868266362	-555.9383503762508	20.0	0.0	1020	260520	-135.20076815242254	-6.516049706677764
2076.750608921051	26	-109.96829488613334	-4.66444077316547	57.430375803167394	-18.546975318230952	-367.3065319840982	20.0	0.0	1020	270540	-141.42828295798444	-6.023206387150346
2152.7154383659363	27	-110.73740243281334	-4.755108832500406	63.38888059684349	-21.916149443925335	-414.7364229956711	20.0	0.0	1020	280560	-103.15982662543848	-4.713402002246548
2230.370290517807	28	-113.23357052234047	-4.845003540502584	59.22178064634193	-19.412431286904788	-456.6294955139818	20.0	0.0	1020	290580	-97.99792653501538	-3.514700212850473
2307.039505004883	29	-105.69142096624302	-4.467228019943551	58.353296012280396	-17.037941901805226	-363.1708797234616	20.0	0.0	1020	300600	-122.43835595013265	-5.527023436513282
2383.722342967987	30	-111.22292673448395	-4.534394053671352	65.23537707359472	-22.288970367970926	-411.4106475803937	20.0	0.0	1020	310620	-91.67372213602435	-3.739337021192949
2460.704423427582	31	-104.8411958891146	-4.516589569036544	53.17677031212478	-17.03860010412237	-353.75900074745545	20.0	0.0	1020	320640	-118.25232394663404	-5.711399573533238
2538.6435413360596	32	-105.68022452958934	-4.609926011344778	61.30241047817178	-22.238568246661224	-366.688172789957	20.0	0.0	1020	330660	-106.68888980203549	-4.378054242987833
2614.4393854141235	33	-106.86130747569928	-4.459919740228222	60.74209163897663	-18.184643387026654	-478.515218001893	20.0	0.0	1020	340680	-106.3015656011271	-4.701460410478832
2690.8569900989532	34	-104.04568584974491	-4.4001383780408885	64.83394799112233	-15.628974332671248	-523.3676432037415	20.0	0.0	1020	350700	-104.84592631931102	-4.356513643904061
2766.5886631011963	35	-102.6753776710378	-4.1078639216695	54.48059493192707	-29.818690163358035	-381.0086477170341	20.0	0.0	1020	360720	-90.44383952978345	-3.4694563139588444
2843.650294780731	36	-104.19741208618015	-4.11060500488581	54.58223149204281	-15.410489870942985	-328.03949507177487	20.0	0.0	1020	370740	-90.15384199791094	-4.134181173391698
2919.6305944919586	37	-97.82553438366484	-3.9596655970894687	53.69018917429956	-22.65622312567659	-349.7360049124009	20.0	0.0	1020	380760	-74.79858991065578	-3.2276454282536413
2996.442858695984	38	-98.99980523332881	-3.9889456796944	58.61625231229684	-21.64329218526427	-389.69788792151553	20.0	0.0	1020	390780	-100.67317631993399	-3.7839835556223806
3073.0989983081818	39	-102.49417598416811	-4.176557024005939	67.94485674488743	-23.337171200092673	-595.1784885128404	20.0	0.0	1020	400800	-138.9838864706541	-6.077890008647177
3151.6067645549774	40	-105.94651240712425	-4.442343027148259	72.50216319163172	-25.108328292784066	-502.2500578678546	20.0	0.0	1020	410820	-111.9253870369272	-5.308946601316514
3228.304454803467	41	-98.17405221624631	-4.102967785975374	66.01204729680755	-19.085256478498177	-450.9037057582249	20.0	0.0	1020	420840	-103.12131321761359	-3.7519855279570584
