Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
77.58307456970215	0	-165.74656091312437	-9.061094302082692	62.72081971129764	-36.583321761313634	-344.8630763480534	20.0	0.0	1020	10020	-167.47642974937773	-9.179298550280306
155.0627634525299	1	-157.90587060652862	-8.751709015804382	66.92787393000974	-33.58439742096833	-343.9080800951636	20.0	0.0	1020	20040	-130.69179299081057	-7.346089926976479
232.66160321235657	2	-163.6328773229855	-8.5146572875078	61.471671550548685	-29.425652741880842	-322.02074830816633	20.0	0.0	1020	30060	-164.53535373867237	-8.783939135381544
307.5445489883423	3	-152.523888363666	-7.763343459250516	61.4221787649919	-34.06301768066821	-353.2559763090964	20.0	0.0	1020	40080	-147.38056021981504	-8.022285550254773
381.29681181907654	4	-166.7526238222105	-8.54994341315128	66.64002963975408	-24.51858611614783	-350.5792248945965	20.0	0.0	1020	50100	-168.10441892506088	-8.834827523807066
456.2418942451477	5	-156.86445763893767	-8.075671608416119	63.188892170176224	-33.208327377530054	-339.2628359087451	20.0	0.0	1020	60120	-170.75568802003568	-8.625050088576565
530.3808588981628	6	-153.67453900177753	-7.714342332512212	61.95476967775273	-32.86934772484534	-335.3088262538329	20.0	0.0	1020	70140	-153.39626209300707	-7.300349773193847
604.7772533893585	7	-165.0532338441746	-8.026948170982116	65.23832298552627	-28.803265669713525	-333.70293071732334	20.0	0.0	1020	80160	-147.4905293915081	-6.963262792892072
678.499005317688	8	-151.56496715280417	-7.403907521981944	62.26406074250353	-34.0022887704144	-352.8848198109383	20.0	0.0	1020	90180	-156.01350974465828	-7.740580945307041
753.9466812610626	9	-156.25291141790757	-7.7569520072952045	66.86762416134353	-25.920716754976468	-345.1665448566362	20.0	0.0	1020	100200	-143.57187559292916	-7.456090039715228
827.6021676063538	10	-140.4877438517919	-6.772222596459392	68.19929855025761	-24.981799352643016	-353.47511390890446	20.0	0.0	1020	110220	-146.67099554902845	-7.15218688561619
902.0258553028107	11	-154.13953405870262	-7.148821654906169	66.47552967378695	-18.681770703822675	-370.008227364982	20.0	0.0	1020	120240	-145.81208466899565	-6.141005715364572
975.4023792743683	12	-148.42594509111754	-6.982037890663595	69.98612631746178	-25.417666964934792	-370.6053268425417	20.0	0.0	1020	130260	-133.46980473401678	-6.123144978060416
1050.897786140442	13	-144.97972277753433	-6.650030557248245	65.71039623506582	-24.775369494671267	-353.56209374460167	20.0	0.0	1020	140280	-140.99977064867608	-6.450799400009494
1124.7356567382812	14	-144.23828669933383	-6.449377631455166	64.41093156755595	-23.416360874990886	-347.179782432991	20.0	0.0	1020	150300	-179.50438185081683	-7.889203518816365
1199.6775653362274	15	-139.93004543965614	-6.061034337393652	62.0964542057286	-21.928944798339824	-362.5494051090684	20.0	0.0	1020	160320	-117.11195154256768	-5.698620939714301
1273.6819088459015	16	-142.77891490653766	-6.143327132869018	66.03656351537742	-22.36637697787793	-361.476806536697	20.0	0.0	1020	170340	-123.06818976442716	-5.346951508546421
