Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
6.958758115768433	0	-165.51906394787366	-8.860277049506525	61.36673194257714	-41.33912594859652	-364.0734148098446	20.0	0.0	1008	10017	-168.1279098014746	-8.950103570285656
12.81286096572876	1	-170.84744821357793	-9.163097289511134	69.99434055210696	-33.9523183140648	-395.5739734993512	20.0	0.0	1008	20034	-168.35440102899352	-9.057952115210407
18.50681757926941	2	-162.04982718434056	-8.886261784010047	62.64791165132474	-22.220235406115595	-362.5868253500456	20.0	0.0	1008	30051	-163.07647992627992	-8.178336284464622
23.819385051727295	3	-166.00245315502065	-8.855209418273473	66.69840757417774	-31.74040173718934	-367.44739134106	20.0	0.0	1008	40068	-170.51699708870248	-8.540143767529033
29.120110750198364	4	-171.05520951618	-9.003905707163701	65.76805342875096	-30.675086893581582	-326.7838109102635	20.0	0.0	1008	50085	-148.63194748378697	-7.563567440643351
34.35777282714844	5	-167.46288498473848	-8.819642464091537	64.3897857992263	-27.64391479129476	-364.0313678883865	20.0	0.0	1008	60102	-164.4529472337979	-8.20467493880244
39.69204306602478	6	-155.10842421153924	-7.921803130940488	67.24756926433567	-23.636942960690988	-368.6082884076527	20.0	0.0	1008	70119	-152.82510029078455	-7.646847161112028
45.038952589035034	7	-160.2265685891483	-8.182469175917078	69.34879280885632	-25.62429441380931	-370.62525741373594	20.0	0.0	1008	80136	-160.2720364157792	-8.307279111313958
50.3655800819397	8	-152.43640596865353	-7.625799657247758	64.76690103451288	-29.324854212117543	-311.56105260804657	20.0	0.0	1008	90153	-161.0441317126184	-8.248241118477624
55.91346049308777	9	-163.29606579126147	-8.215243750440763	70.04564018010763	-25.983879684338905	-388.66158104657154	20.0	0.0	1008	100170	-140.88796139413583	-7.049369927541892
61.41668462753296	10	-162.81452505440984	-8.041542539974255	66.26106535165592	-27.30820628906923	-367.2464908910044	20.0	0.0	1008	110187	-174.32573711217765	-8.500019598443805
66.74732232093811	11	-157.60146954974255	-7.822251756238545	68.58555092814261	-21.334560317946462	-368.96336282439074	20.0	0.0	1008	120204	-151.63650470172138	-7.742080403465251
72.11210989952087	12	-158.91921808702244	-7.859227588100243	68.29034591585209	-15.1778713694895	-408.6542740622757	20.0	0.0	1008	130221	-155.80612385459162	-7.84304511090507
77.3765652179718	13	-152.38954115839698	-7.65721530653495	67.60251519655974	-20.788232514688502	-390.42234132128135	20.0	0.0	1008	140238	-172.43647509458376	-8.873826428133858
82.54065585136414	14	-155.57449384459284	-7.624841138326488	70.36925647022174	-20.853797048164648	-360.9814991728312	20.0	0.0	1008	150255	-152.8214062930385	-6.8381855654966515
88.00911855697632	15	-155.44567937953528	-7.717772764181851	66.6351100702812	-22.45395621989113	-477.6501625105304	20.0	0.0	1008	160272	-162.5130336527565	-7.708606322151148
93.43679594993591	16	-157.28610356634138	-7.614916544843423	66.89577638565626	-20.843739818901597	-405.88854771494005	20.0	0.0	1008	170289	-164.09444881962486	-7.980039357306748
